Internals 	 minnodeR: 3 	 TSnode: 14 	 minnodeP: 27
Out-of-Plane 1-3-12-4	0.24607735136744746	0.35711863267611327	0.20445030473532788
Out-of-Plane 1-4-13-3	-0.18852342216879361	-0.30390108671734956	-0.2151739033433638
Out-of-Plane 1-4-15-3	-0.29866334980056947	-0.44452169881103787	-0.3951828245781947
Out-of-Plane 1-4-5-3	0.27806960731160124	0.5290416073108005	0.5273565759859671
Out-of-Plane 1-3-6-35	2.6278552350713937	2.0235341215125047	1.5003228024565602
Out-of-Plane 1-3-8-13	-0.183160876535409	-0.15792376821845316	-0.27211870037856567
Out-of-Plane 1-3-11-15	-0.17216383550900333	-0.0845529006591479	-0.17796214736198768
Out-of-Plane 1-12-13-3	0.2365377827231739	0.21788709079957863	0.1548655693404674
Out-of-Plane 1-3-5-12	-0.05516302655903945	0.04765154388445905	0.26112556246689744
Out-of-Plane 1-3-5-13	-0.18141399206997072	-0.1033473501730888	0.09079195283347041
Out-of-Plane 1-8-11-4	-0.24660860284767058	0.0744337373844921	0.06688399113646762
Out-of-Plane 1-4-8-15	2.7547073833361226	2.1613077683572923	2.1766447715263717
Out-of-Plane 1-8-35-4	0.3653743392463894	0.17062128779513067	0.44557469481747647
Out-of-Plane 1-4-11-35	0.3342099641226346	0.19823896199696187	0.5109720802710389
Out-of-Plane 1-4-12-13	3.133214183124191	2.7006484432520415	2.8558542935501094
Out-of-Plane 1-4-5-8	0.14109659825785878	-0.10392359421098048	-0.144579213533941
Out-of-Plane 1-4-5-12	-0.21568371242199466	-0.3549826751090907	-0.3543388137006081
Out-of-Plane 1-4-5-13	-0.39096214020174463	-0.6959168345576063	-0.7140450075887228
Out-of-Plane 1-8-11-6	-0.35757742129924674	-0.3181973667401454	-0.3909799974773315
Out-of-Plane 1-6-11-12	2.745666593632953	2.203444240900244	1.4390120319812834
Out-of-Plane 1-6-13-11	0.18289178932261965	-0.05179027083533133	-0.44619184546820256
Out-of-Plane 1-11-15-6	-0.2781685607006649	-0.13669916201111038	0.08951534166737156
Out-of-Plane 1-6-13-15	-0.3631001552420177	-0.658782246951798	-1.0813991510742995
Out-of-Plane 1-8-11-35	-0.2955234272525936	-0.2676028701047782	-0.3978616017653324
Out-of-Plane 1-11-12-35	-0.16663533020724106	-0.04265985570473336	0.37219102810113736
Out-of-Plane 1-13-15-35	0.026483412423441884	-0.06619144962405688	-0.4678074565859078
Out-of-Plane 1-5-6-8	-0.20316380665905182	-0.17277652078254754	-0.1382227736924709
Out-of-Plane 1-5-6-11	-0.3433921157188284	-0.33265834196605826	-0.4054042078525007
Out-of-Plane 1-5-11-8	0.03968541610199937	0.0813479815422048	0.1947725708090092
Out-of-Plane 1-5-15-8	-0.21709704938022967	-0.15036448912554343	-0.010594961124034042
Out-of-Plane 1-5-35-8	-0.14493662690609577	-0.15735252214129486	-0.17827696085291092
Out-of-Plane 1-5-11-35	0.25051724423760074	0.311698440461294	0.75631058631842
Out-of-Plane 1-5-13-12	0.1673865710705213	0.27188436651065295	0.4525793649798351
Out-of-Plane 2-1-3-8	0.16750660534605244	0.19208446540470053	0.05070677154581288
Out-of-Plane 2-1-9-10	-0.01013864160949358	-0.017397166195444246	0.0095590503212166
Out-of-Plane 3-1-2-27	0.08096228324921206	0.03341642299241277	0.06203849400191517
Out-of-Plane 4-5-33-34	0.13131086502752826	0.23687564872881528	0.598894279454073
Out-of-Plane 5-1-6-31	-0.040134314492864566	0.28307773654429225	0.16503868125397594
Out-of-Plane 5-1-6-32	-0.262368331476748	-0.4081848487531301	-0.5276183078998509
Out-of-Plane 5-4-31-32	0.12839955553699237	0.2534159415378481	0.6201720008854132
Out-of-Plane 6-1-5-7	0.18991799896103145	0.2545228609531226	0.36475633176431205
Out-of-Plane 6-1-5-35	0.22333471412034267	0.20635784897217102	0.25344290194122643
Out-of-Plane 6-35-5-36	-0.1646805589483429	-0.5667682129361687	-0.5812316539676143
Out-of-Plane 8-2-11-12	0.2665237445069449	0.34005569896983656	0.35372174014015056
Out-of-Plane 11-1-15-55	-0.32067810455650636	-0.31484055634492775	-0.3131333829585236
Out-of-Plane 11-8-15-55	0.11459054012714517	0.11891075511137085	0.12135230148212514
Out-of-Plane 12-1-13-46	0.31097064822458015	0.3189536376549302	0.31833804288089385
Out-of-Plane 12-8-13-46	-0.09351639765025974	-0.09311619827686272	-0.09610138184124124
Out-of-Plane 13-12-14-15	0.0010404913447510154	0.02369738592455579	0.015082378727018037
Out-of-Plane 14-13-20-24	0.005795324191252681	0.0021968845422688284	0.004100799134132139
Out-of-Plane 15-11-13-16	0.024081065020643073	0.03594362690111789	0.023508227064099017
Out-of-Plane 16-15-17-18	-0.003936029817642884	-0.011666094058784751	-0.007422191669520187
Out-of-Plane 17-16-26-54	0.006829992098151636	0.003233838669407089	-0.0010892950544199107
Out-of-Plane 18-16-19-20	-0.004683725010309612	-0.004117523330715622	0.0004266244436161187
Out-of-Plane 19-18-25-51	-0.003596570435479269	-0.003892416228774687	-0.002852418939886443
Out-of-Plane 20-14-18-21	-0.0038300906480563833	-0.002259809623852685	0.003499968293548933
Out-of-Plane 21-20-22-47	-0.0014368149422514184	-0.0024246907430871397	-0.0021809234254545917
Out-of-Plane 22-21-23-48	0.0017903729627954683	0.000479243778395765	0.00036639365183919846
Out-of-Plane 23-22-24-49	-0.0015871227649011757	-0.0017022749685025587	-0.0006456321982299841
Out-of-Plane 24-14-23-50	-0.0003143844847082915	0.0005644065009963536	-0.0007984754101790187
Out-of-Plane 25-19-26-52	-0.004371576879727917	-0.0018474504583072208	0.0001043517836408103
Out-of-Plane 26-17-25-53	0.0015466405999226241	0.00211227726183853	0.001455763299929226
Dihedral 3-1-2-8	-2.8957846806441525	-2.858751648709358	-3.0671436110826535
Dihedral 3-1-2-9	1.6931847016480923	1.7257732672485548	1.6182683670654427
Dihedral 3-1-2-10	-1.4699095687962491	-1.4554215974596034	-1.5048820218866854
Dihedral 4-1-2-3	1.6221015028733712	1.1827018939480787	1.1850697286942895
Dihedral 4-1-2-8	-1.273683177770781	-1.6760497547612794	-1.8820738823883638
Dihedral 4-1-2-9	-2.967899102658123	2.9084751611966335	2.8033380957597323
Dihedral 4-1-2-10	0.1521919340771222	-0.27271970351152486	-0.31981229319239574
Dihedral 6-1-2-3	-1.6035393702221366	-1.5133460666789729	-1.352824493221144
Dihedral 6-1-2-8	1.7838612563132976	1.9110875917912555	1.8632172028757892
Dihedral 6-1-2-9	0.08964533142595602	0.21242720056958203	0.265443873844299
Dihedral 6-1-2-10	-3.0734489390183857	-2.9687676641385763	-2.857706515107829
Dihedral 8-1-2-3	2.8957846806441525	2.858751648709358	3.0671436110826535
Dihedral 8-1-2-9	-1.6942159248873416	-1.6986603912216736	-1.5977733290314902
Dihedral 8-1-2-10	1.4258751118479032	1.4033300512497544	1.5622615891959681
Dihedral 11-1-2-3	2.334336196605288	2.2834626559206117	2.4710917407256634
Dihedral 11-1-2-8	-0.5614484840388647	-0.5752889927887466	-0.5960518703569897
Dihedral 11-1-2-9	-2.255664408926206	-2.27394938401042	-2.19382519938848
Dihedral 11-1-2-10	0.8644266278090387	0.8280410584610081	0.9662097188389781
Dihedral 12-1-2-3	-2.8550163364463432	-2.8693153442555213	-2.660053447826098
Dihedral 12-1-2-8	0.5323842900890907	0.555118314214707	0.5559882482708352
Dihedral 12-1-2-9	-1.1618316347982507	-1.1435420770069666	-1.041785080760655
Dihedral 12-1-2-10	1.9582594019369943	1.9584483654644615	2.118249837466803
Dihedral 13-1-2-3	-3.1368777590195234	3.1304952686039416	-2.948978309382994
Dihedral 13-1-2-8	0.2505228675159104	0.2717436198945833	0.2670633867139388
Dihedral 13-1-2-9	-1.4436930573714308	-1.4269167713270903	-1.3307099423175515
Dihedral 13-1-2-10	1.676397979363814	1.6750736711443377	1.8293249759099068
Dihedral 15-1-2-3	2.6254883811439975	2.5757949754682863	2.7636975882258152
Dihedral 15-1-2-8	-0.27029629950015494	-0.2829566732410716	-0.30344602285683786
Dihedral 15-1-2-9	-1.9645122243874964	-1.981617064462745	-1.9012193518883282
Dihedral 15-1-2-10	1.1555788123477484	1.1203733780086829	1.25881556633913
Dihedral 5-1-2-3	0.6362948157778812	0.35910882560065566	0.16637146929678515
Dihedral 5-1-2-8	-2.2594898648662713	-2.4996428231087022	-2.9007721417858683
Dihedral 5-1-2-9	2.329479517425974	2.0848820928492104	1.784639836362228
Dihedral 5-1-2-10	-0.8336147530183675	-1.0963127718589478	-1.3385105525899001
Dihedral 35-1-2-3	-1.5501467321559217	-1.5943034359613673	-1.5651397272692005
Dihedral 35-1-2-8	1.8372538943795125	1.8301302225088611	1.6509019688277327
Dihedral 35-1-2-9	0.14303796949217087	0.13146983128718756	0.05312863979624228
Dihedral 35-1-2-10	-3.0200563009521706	-3.049725033420971	-3.070021749155886
Dihedral 2-1-3-27	-2.9540434706576564	-3.06243739657813	-3.0042770804102
Dihedral 4-1-3-2	-2.342010961519701	-2.3020747734343407	-2.334281424829951
Dihedral 4-1-3-27	0.9871308750022295	0.9186731371671155	0.944626801939435
